id,name,date_of_birth,nationality
619,Charley Boorman,1956-07-02,Malaysian
620,Katherine Swift,1938-01-22,Spanish
621,Andy McKee,1972-02-16,British
622,Cem Kaner,1986-11-16,Peruvian
623,Miriam Elia,1928-08-30,Kenyan
624,George Mumford,1944-11-10,Swedish
625,Carolyn Humphries,1978-05-29,Canadian
626,Bamber Gascoigne,1981-07-19,Irish
627,Rem Koolhaas,1944-05-19,Egyptian
628,David Gordon Wilson,1980-09-19,Mexican
629,Ari Seth Cohen,1988-11-02,German
630,Lisa Sweet,1973-04-07,Korean
631,Jaime Corpas,1940-01-10,Egyptian
632,Colleen Houck,1977-01-08,Australian
633,Carli Davidson,1952-01-02,Canadian
634,John Kenn Mortensen,1933-12-04,Italian
635,Alan Weiss,1951-06-02,Egyptian
636,Bruce C. N. Greenwald,1935-12-05,Mexican
637,Hans Henning Orberg,1968-09-19,Greek
638,Eriy,1952-05-25,German
639,Sean T. Page,1979-12-03,Australian
640,R.G.A. Buxton,1951-06-02,Canadian
641,Clelia Boscolo,1954-07-15,Malaysian
642,Michael Hyatt,1964-03-02,Thai
643,Sidney Rosen,1941-06-17,Polish
644,Tadashi Ono,1981-01-13,Australian
645,Dan Hague,1936-11-13,Turkish
646,Sarah Anderson,1981-04-26,Kenyan
647,Allan Blackman,1934-12-24,Polish
648,Gemma Stafford,1945-08-04,American
649,Romeo Dallaire,1928-09-16,Kenyan
650,Archbishop Desmond Tutu,1953-01-14,Portuguese
651,Connie Ewbank,1969-04-17,Jamaican
652,Miles Irving,1969-05-21,Thai
653,Harvey Ussery,1972-09-18,Portuguese
654,Theresa Carle-Sanders,1978-09-29,Canadian
655,Kerry Patterson,1990-04-13,Canadian
656,Steven D Levitt,1923-01-02,Irish
657,Roger Kahn,1985-03-22,Spanish
658,Lisa Daly,1923-07-23,Portuguese
659,Zindel V. Segal,1958-07-19,Nigerian
660,Paul Garner,1973-01-29,Portuguese
661,John Arnold,1936-02-07,French
662,Gregory J. Noonan,1921-02-15,Polish
663,Simon Griffin,1943-07-30,Korean
664,Carlos González,1941-05-23,Nigerian
665,Fredrik Eklund,1965-01-18,Polish
666,Herbert Puchta,1950-08-16,Israeli
667,Daniel H. Pink,1980-09-08,Israeli
668,Dervla McTiernan,1944-04-24,Russian
669,Sixth&spring Books,1968-02-02,Greek
670,Robert Beverly Hale,1936-02-09,Peruvian
671,Kjartan Poskitt,1982-08-19,American
672,Michael J. Benton,1921-03-16,Chinese
673,Hilary Robinson,1948-08-27,Israeli
674,Linda A. Hill,1929-05-02,Australian
675,Dr Lisa Mosconi,1930-04-18,Indian
676,Alan R. Toogood,1959-02-27,Chinese
677,Casey Hudson,1990-12-01,Polish
678,Nick Bostrom,1941-11-01,Australian
679,Graham Allison,1959-10-01,Canadian
680,Fredson Bowers,1978-04-10,French
681,Ken Ludwig,1930-11-11,Egyptian
682,Mireille Guiliano,1963-12-28,Jamaican
683,John Connolly,1942-06-18,Malaysian
684,Bill Lubanovic,1975-08-15,British
685,Elizabeth Lesser,1969-07-04,Malaysian
686,Serena Guen,1969-12-16,British
687,Gloria Steinem,1955-07-13,Kenyan
688,Cory Doctorow,1940-04-02,Japanese
689,Emily Dickinson,1990-12-06,Russian
690,Maggie Hamand,1971-08-01,Thai
691,Brett Bartholomew,1927-07-29,Italian
692,David Bentley Hart,1980-10-26,Kenyan
693,University of Cambridge ESOL Examinations,1954-10-13,Israeli
694,Errol Flynn,1941-03-18,Australian
695,Scroll Saw Woodworking & Crafts Magazine,1985-12-04,Malaysian
696,Isaac Martin,1943-03-22,Irish
697,Paizo Staff,1990-12-30,British
698,Jayneen L Sanders,1977-10-20,Russian
699,Michael Thorne,1955-10-05,Irish
700,Stefan Zweig,1949-09-08,Canadian
701,Emily Bone,1979-12-25,Turkish
702,Wilfred Owen,1967-08-04,Australian
703,David Harvey,1990-11-04,Mexican
704,Susan Breier,1987-09-08,Peruvian
705,Lucia Capacchione,1928-09-24,Turkish
706,Ed Friedland,1950-03-16,Turkish
707,Troy Nelson,1987-02-13,Russian
708,Greg Rucka,1989-08-09,Brazilian
709,Huw Llewelyn,1929-01-08,Indian
710,Inio Asano,1954-12-11,Indian
711,T. D. Jakes,1958-06-05,Israeli
712,Kenneth Anger,1967-08-29,Swedish
713,Samual Devlin,1932-10-06,American
714,Amy Bryant Aiello,1927-04-14,Malaysian
715,Chris Hodges,1967-01-21,Korean
716,Penny Simpson,1940-06-15,Peruvian
717,Jackie French,1974-06-10,Korean
718,Tsutomu Satou,1948-08-06,Nigerian
719,One Direction,1940-05-24,Turkish
720,Chris Ferrie,1964-10-14,Indian
721,Rick Yancey,1960-04-15,Portuguese
722,Catherine Rodgers,1989-06-07,Kenyan
723,Shakti Gawain,1960-06-05,Korean
724,Rachel Caine,1940-09-16,Nigerian
725,Sandra Evans,1953-11-22,Nigerian
726,Shel Silverstein,1980-08-17,Irish
727,F.Alton Everest,1974-03-09,Chinese
728,Damian Harvey,1936-05-06,French
729,J. A. Baker,1977-04-19,Italian
730,Faye Dowling,1958-05-17,Italian
731,Howard Schultz,1952-08-14,American
732,Alexander Osterwalder,1971-05-10,Kenyan
733,David R. Montgomery,1963-09-28,Peruvian
734,Abby Wynne,1944-05-27,Israeli
735,Anthony Puharich,1928-03-27,Portuguese
736,Tim Hauser,1971-05-07,Jamaican
737,Dan R. Lynch,1970-10-19,American
738,John Palmer,1932-09-09,German
739,Jocelyn Blink,1975-12-26,Thai
740,Claire Takacs,1977-09-18,French
741,Geshe Kelsang Gyatso,1989-07-15,Nigerian
742,Holly Homer,1990-09-19,Polish
743,David C. Pollock,1976-10-17,Irish
744,Adam Rutherford,1974-03-02,Egyptian
745,Fiona McDonald,1935-10-23,Chinese
746,Stephen McKenzie,1985-06-14,French
747,P. G. Wodehouse,1928-08-03,German
748,David Halberstam,1933-04-29,Korean
749,John Seymour,1925-03-12,Kenyan
750,Abby Smith,1970-08-10,British
751,Simon Scarrow,1986-05-26,Thai
752,Alexander Kask,1982-06-16,Korean
753,Dr Temple Grandin,1981-12-01,Russian
754,Kazu Kibuishi,1977-09-03,Japanese
755,Richard Wentk,1937-07-19,British
756,Wayne Winston,1986-02-17,Israeli
757,George R R Martin,1954-11-12,Turkish
758,Midwife Cath,1982-06-08,Japanese
759,Joe Sugg,1945-02-15,German
760,Adrian Gill,1926-08-04,Swedish
761,Future Press,1932-10-06,Russian
762,Martin Laird,1972-04-06,Turkish
763,Anna Fifield,1947-07-22,Israeli
764,Patricia Briggs,1960-10-15,Polish
765,Alistair Urquhart,1949-07-18,Peruvian
766,Vic   Tesoling,1942-04-01,Jamaican
767,Kirill Eremenko,1988-02-01,Swedish
768,Laura Marshall,1929-06-17,Kenyan
769,Amanda Lovelace,1970-08-02,Kenyan
770,Kate Morton,1974-10-08,Swedish
771,Janet Balaskas,1936-07-07,Nigerian
772,Gretchen Mcculloch,1930-04-28,Peruvian
773,Signe Johansen,1926-06-29,Portuguese
774,M.Lynn Palmer,1976-05-30,Korean
775,Alfred Bester,1933-06-21,Swedish
776,Aristotle,1942-03-21,Italian
777,Dr Susan Blum,1948-04-24,American
778,Gina Rippon,1939-10-10,Australian
779,Connie Burk,1967-04-22,American
780,Joshua Bloch,1971-08-28,Egyptian
781,Nicholas Sparks,1947-11-08,Egyptian
782,Susanna Clarke,1938-01-27,Egyptian
783,Andrew Hodges,1980-06-18,Thai
784,Adam Kay,1984-08-11,Israeli
785,Jeremy Churchill,1982-05-04,Australian
786,Lucy Cooke,1937-06-03,Thai
787,Andrew Matthews,1936-07-19,Saudi Arabian
788,Ralph Waldo Emerson,1923-11-11,American
789,Walter H. G. Lewin,1974-05-30,American
790,Mary Beard,1986-07-02,Indian
791,Antonietta Di Pietro,1926-06-29,British
792,Tom Butler-Bowdon,1939-11-27,Peruvian
793,Ffg,1951-07-26,Peruvian
794,Michelle Rivera,1984-06-02,Australian
795,Anne Brontë,1971-01-17,Mexican
796,Brian Augustyn,1929-04-03,Swedish
797,Jonathan Haskel,1931-08-29,Jamaican
798,Fujino Omori,1925-10-29,French
799,Tim Laman,1932-12-13,Swedish
800,Nessa Carey,1950-10-04,Saudi Arabian
801,Edna-Mae Burnam,1954-10-21,Swedish
802,J Clark Scott,1961-11-06,Greek
803,Carla Marschall,1933-12-17,Malaysian
804,Murray Chandler,1990-10-10,Saudi Arabian
805,Jonathan Cahn,1920-09-27,Japanese
806,John Marsden,1921-05-02,American
807,Iain Oughtred,1931-02-25,Nigerian
808,Bobby George,1942-07-13,Swedish
809,Haemin Sunim,1969-11-25,Chinese
810,J. William Worden,1952-05-28,Egyptian
811,Erik M. Conway,1933-03-23,Saudi Arabian
812,Catrin Brown,1927-04-30,Malaysian
813,Victoria Aveyard,1931-05-29,Kenyan
814,Robert Steward,1928-03-05,Peruvian
815,Michael Ian Black,1943-05-14,Brazilian
816,Cecile Zorach,1959-02-25,Turkish
817,John Lewis-Stempel,1929-03-08,German
818,Dr. Bob Cullen,1987-03-12,Chinese
819,Susan Schaeffer Macaulay,1938-02-27,Portuguese
820,Dr. Aseem Malhotra,1938-06-20,Swedish
821,Norman L. Geisler,1943-10-15,Swedish
822,Jessica Townsend,1956-03-02,Spanish
823,Tien Tzuo,1955-01-06,Brazilian
824,Neil Degrasse Tyson,1938-06-09,Egyptian
825,Beci Orpin,1955-02-14,French
826,Alex Kelly,1974-06-13,Thai
827,Fred Provenza,1943-09-09,American
828,Willard A Palmer,1951-07-25,Malaysian
829,Jim Fleser,1937-03-26,Malaysian
830,Annie Sloan,1948-10-26,Brazilian
831,Jordan Watson,1981-11-05,British
832,Thomas Cathcart,1932-02-26,Japanese
833,Patrick McCarthy,1979-07-22,Canadian
834,Arianna Cadwallader,1927-06-21,Malaysian
835,Josephine Ellershaw,1989-02-06,Japanese
836,David Cannadine,1957-10-30,Polish
837,Sharon Garlough Brown,1937-04-11,Jamaican
838,Lucy Whigham,1974-10-24,Spanish
839,Jose Silva,1984-07-12,Israeli
840,Edward Gorey,1947-05-08,Malaysian
841,Cambridge ESOL,1939-03-14,Turkish
842,Sam Walton,1986-11-07,Russian
843,Paul T. Comeau,1982-10-10,German
844,Rabbi Daniel Lapin,1980-12-20,Greek
845,Alex North,1963-07-02,Australian
846,Nan Shepherd,1941-08-15,British
847,James T Webb,1980-08-16,Peruvian
848,Paul O'Grady,1990-07-27,Egyptian
849,Interweave Editors,1973-02-24,Malaysian
850,Megan Lynn Kott,1974-02-20,Malaysian
851,Ken Schramm,1970-09-20,Saudi Arabian
852,Chris Packham,1967-01-31,Malaysian
853,Paul Allam,1973-10-03,German
854,Robert Service,1938-06-08,American
855,Koy Hing Lim,1929-10-16,German
856,Emma Lamb,1925-02-13,Israeli
857,Douglas Preston,1986-10-06,Egyptian
858,John M. Collins,1936-06-03,Israeli
859,Sally Moomaw,1928-01-10,French
860,Ministry of Information,1973-10-27,Nigerian
861,Gene Sharp,1946-11-12,Polish
862,Raph Koster,1936-02-21,Italian
863,The Hubb Community Kitchen,1934-06-03,Brazilian
864,Jean Leinhauser,1931-08-07,Irish
865,Michael Middleditch,1930-11-25,Kenyan
866,Tony Kevin,1946-08-14,Jamaican
867,Nick Davies,1965-08-16,Spanish
868,Chad Lejeune,1956-05-04,Greek
869,Laura Heyenga,1982-10-18,Peruvian
870,Elspeth Beard,1968-12-27,Canadian
871,Xun Liu,1943-07-28,British
872,Julie Piatt,1943-11-14,American
873,Melissa Stewart,1930-01-13,Italian
874,Roberta Edwards,1982-04-05,Korean
875,Louie Stowell,1947-07-20,German
876,David A. Whitsett,1951-12-08,Portuguese
877,Martin Christopher,1944-08-18,Mexican
878,Anne Applebaum,1940-01-05,Turkish
879,Sharon Pincott,1974-07-07,Israeli
880,C.S. Pacat,1920-01-13,Peruvian
881,Nancy Holyoke,1954-04-16,Japanese
882,Aaron Blabey,1975-01-01,Irish
883,Marcus Aurelius,1989-10-07,Portuguese
884,Mollie Makes,1945-05-11,British
885,David Winner,1941-11-06,Malaysian
886,Emma Smith,1987-10-17,Japanese
887,Oren J. Sofer,1925-11-09,American
888,Jeffrey E.F. Friedl,1938-01-26,Swedish
889,Richard E. Williams,1940-03-13,Egyptian
890,Thomas Ligotti,1969-09-26,Jamaican
891,Monocle,1972-10-21,Turkish
892,John Piper,1937-09-18,Portuguese
893,Nassim Nicholas Taleb,1944-03-16,British
894,James Alexander,1947-11-11,French
895,Peter Dalgaard,1958-05-05,Saudi Arabian
896,Graduate Management Admission Council (GMAC),1978-04-26,Chinese
897,Martyn Ellis,1968-11-18,Nigerian
898,M. R. Carey,1946-03-08,Australian
899,Kugane Maruyama,1979-09-02,Canadian
900,Dr. Henry Cloud,1921-04-13,Brazilian
901,Peter Frankopan,1922-04-29,Egyptian
902,Charles Dickens,1963-12-09,Spanish
903,Bryan Turner,1946-12-28,Chinese
904,Gillespie Garage Project,1959-05-31,Indian
905,Carol Davidson Cragoe,1940-11-27,Korean
906,Robert Bolton,1957-10-21,Turkish
907,Akihito Tsukushi,1987-10-25,Spanish
908,Steve Silberman,1921-07-16,Indian
909,Serena Williams,1983-02-02,Portuguese
910,George R. R. Martin,1934-07-18,Turkish
911,Chronicle Books,1986-01-23,Spanish
912,Charles Herve-Gruyer,1987-12-23,Australian
913,Romalda Bishop Spalding,1956-02-27,Israeli
914,Pippa O'Connor,1956-06-05,Portuguese
915,Jackie Hill Perry,1983-09-23,Nigerian
916,Milton Crawford,1980-01-12,Kenyan
917,Abhijit Banerjee,1958-04-17,Portuguese
918,D. Dean,1959-04-26,Israeli
919,Wayne Jacobsen,1947-07-20,Irish
920,David McRaney,1974-08-12,Swedish
921,Jon Emmett,1927-03-26,Israeli
922,Philip Kerr,1964-12-16,American
923,Roy Godwin,1982-03-07,Irish
924,Barri Sue Gaudet,1974-07-29,Chinese
925,Steven Lamb,1977-06-04,Canadian
926,Eva Ibbotson,1934-01-03,Australian
927,Hermann Haindl,1936-04-15,Jamaican
928,Jean Liedloff,1986-02-11,Brazilian
929,Jay Griffiths,1989-04-29,Nigerian
930,Danny Dreyer,1986-10-02,Kenyan
931,Michael Roberts,1972-05-01,Spanish
932,Arthur Newhall,1938-05-15,Nigerian
933,Charles Fishman,1926-10-01,German
934,Toni Carmine Salerno,1978-04-13,Greek
935,Mel Wells,1959-04-03,German
936,Sophia Amoruso,1953-07-17,Nigerian
937,David Easty,1924-05-08,Chinese
938,Cicely Mary Barker,1933-10-03,Malaysian
939,Nathan Myhrvold,1968-01-17,Malaysian
940,Nina George,1971-10-24,German
941,Jeremy Brook,1940-10-06,American
942,Mark Frost,1968-02-02,Nigerian
943,Roberto Escobar,1977-03-17,Greek
944,John Crane,1921-02-15,Thai
945,Harry Barry,1957-01-07,Chinese
946,Barney Saltzberg,1932-01-02,German
947,Mary Shelley,1929-08-30,Greek
948,Malcolm Gladwell,1984-06-16,Portuguese
949,Adam Higginbotham,1934-09-22,Turkish
950,Kuan Yew Lee,1980-03-05,Japanese
951,James Collins,1942-11-26,Japanese
952,Don Fink,1978-02-22,Nigerian
953,Tui Sutherland,1980-01-05,Mexican
954,Susan Stiffelman,1945-04-07,Swedish
955,Andre Iguodala,1974-09-04,Swedish
956,Professor of Political Science Mark Williams,1955-10-21,Nigerian
957,Laura Barnett,1944-04-24,Saudi Arabian
958,John Milton,1922-06-13,Australian
959,Lene Knudsen,1953-05-13,Egyptian
960,Paul Kenyon,1935-12-02,Portuguese
961,Peter Meehan,1982-04-08,French
962,Satya Nadella,1944-04-10,Indian
963,Leandra Medine,1990-12-26,Turkish
964,Bruce Patton,1980-04-06,Japanese
965,Michael Embacher,1949-09-22,Swedish
966,John Safran,1968-02-20,Australian
967,Louise Hay,1975-04-05,Italian
968,Deborah Madison,1948-03-16,Kenyan
969,Eric R. Dodge,1976-08-18,Saudi Arabian
970,Zoe Sugg,1920-03-27,Portuguese
971,Jane Forrest,1939-05-05,Nigerian
972,Sibella Court,1979-10-19,Australian
973,Sendhil Mullainathan,1924-12-17,Indian
974,John Nelson,1920-10-18,Indian
975,Christian Rätsch,1929-09-23,American
976,Marion Nichols,1936-07-02,Irish
977,Ernest Cline,1985-02-10,Egyptian
978,Kenny McGovern,1988-08-02,Canadian
979,John Kettle,1966-07-21,Korean
980,Wayne G. Hammond,1963-02-12,Turkish
981,Emma Kennedy,1948-05-09,Irish
982,Misha Glenny,1944-11-10,Peruvian
983,J.M. Evans,1960-04-16,Kenyan
984,John Polkinghorne,1990-04-20,Nigerian
985,Tom Bancroft,1977-04-28,Canadian
986,Jon Stone,1986-07-26,Saudi Arabian
987,Jill Mansell,1975-06-05,Turkish
988,Sara Wernham,1985-03-28,Swedish
989,Beryl Markham,1951-11-04,Thai
990,Colin Jackson,1932-06-02,Saudi Arabian
991,Suki Kim,1962-09-15,Swedish
992,Veronica Roth,1956-06-25,Polish
993,Underhill,1943-01-06,French
994,Leela Punyaratabandhu,1963-04-11,Canadian
995,Daniel Susskind,1977-07-24,Kenyan
996,Shelly Down,1924-03-08,American
997,Shelley Ann Vernon,1966-06-24,Turkish
998,David Servan-Schreiber,1984-03-10,French
999,Tara Westover,1946-09-06,Canadian
1000,Keith Lamb,1963-10-15,Australian
1001,Helen Kennerley,1956-06-04,Swedish
1002,Christina Butcher,1979-09-24,Japanese
1003,Glen Cook,1975-11-10,Saudi Arabian
1004,Philippe Andrieu,1921-09-08,Jamaican
1005,Claude Levi-Strauss,1941-04-08,Peruvian
1006,Jerry Spinelli,1936-05-23,Italian
1007,Lam Kam Chuen,1938-05-08,Australian
1008,Gerald Brittle,1943-05-21,Portuguese
1009,Alex Haley,1951-04-24,Saudi Arabian
1010,The Secret Barrister,1941-05-19,German
1011,Linda Collister,1940-10-19,Thai
1012,Chelsea Winter,1946-11-25,Irish
1013,Lynn Maslen Kertell,1936-05-28,Mexican
1014,Alice Boyes Ph D,1934-07-14,Saudi Arabian
1015,Martha Wells,1959-11-22,French
1016,David A. Yallop,1980-08-05,Canadian
1017,Alaena Haber,1947-04-21,British
1018,Jigoro Kano,1958-05-10,Mexican
1019,Lauren Friedman,1986-11-09,Indian
1020,Richard Carlson,1976-06-09,German
1021,Regena Thomashauer,1940-03-29,German
1022,Guy Meadows,1971-07-22,Kenyan
1023,Walter Bonatti,1975-01-18,German
1024,Philip Gourevitch,1930-11-11,Russian
1025,Jonathan V. Wright,1989-05-22,Thai
1026,George Hrabovsky,1979-05-24,Indian
1027,Cleo Wade,1980-06-20,Kenyan
1028,Chris Baker,1961-04-12,American
1029,Mike Rohde,1963-01-03,German
1030,Kazuko Aoki,1986-06-11,Kenyan
1031,John Long,1952-01-01,Italian
1032,Ed Brubaker,1925-12-31,Greek
1033,Ian Buxton,1926-06-14,Japanese
1034,Drew Neil,1970-08-18,American
1035,Shinji Moon,1985-09-16,Portuguese
1036,Meg Clemens,1990-04-27,Canadian
1037,Vicky Phelan,1927-08-19,Irish
1038,Suzi Barrett,1973-01-05,Saudi Arabian
1039,Farid Attar,1947-05-04,British
1040,Dave Goulson,1951-02-08,Thai
1041,Chris Mattison,1979-12-13,Russian
1042,Susan Finden,1961-03-09,Egyptian
1043,Michael Wright,1949-10-06,Egyptian
1044,Rick Strassman M D,1962-09-11,Brazilian
1045,Jerome E. Groopman,1959-08-11,Irish
1046,Vishal Mangalwadi,1966-07-26,Chinese
1047,Bill Prochnau,1987-04-18,Russian
1048,Betty R. Kirkwood,1958-01-06,British
1049,Norman W. Walker,1978-02-11,Kenyan
1050,Frederik Astier,1949-08-19,Russian
1051,David Christian,1985-05-26,Israeli
1052,Marlena De Blasi,1961-05-14,Portuguese
1053,Claire Crompton,1969-05-05,American
1054,Jandy Nelson,1971-05-12,British
1055,Paul Maliszewski,1964-11-14,Italian
1056,New Scientist,1935-01-27,Nigerian
1057,Phil Parker,1962-04-08,Japanese
1058,Joshua Foer,1962-08-31,Thai
1059,Virgilo Borobio,1934-10-23,British
1060,John Garrett,1930-11-26,Brazilian
1061,Frank Honsowetz,1983-06-21,Peruvian
1062,Enid Blyton,1943-06-13,Japanese
1063,Jonathan Raban,1984-02-10,Turkish
1064,Vincent Van Gogh,1944-04-10,Mexican
1065,Steve Brusatte,1974-11-23,Israeli
1066,Jean Adamson,1966-11-21,Canadian
1067,Gary Larson,1936-01-17,Thai
1068,Peter Korn,1987-05-07,Indian
1069,Thomas Pynchon,1987-11-19,Canadian
1070,Albert Uderzo,1977-11-10,Mexican
1071,Antonio Iturbe,1979-12-02,Korean
1072,Carol Meldrum,1984-11-23,Jamaican
1073,Phillip Keller,1982-08-31,Thai
1074,Henri Cartier-Bresson,1946-06-01,Greek
1075,Sarah Powers,1928-12-18,American
1076,Terry E. Heick,1924-02-01,Thai
1077,Kendra Hurteau,1986-04-04,Mexican
1078,Wendy Lee,1966-12-08,Chinese
1079,Megan Morton,1961-05-11,American
1080,Bethesda Games,1953-01-04,Kenyan
1081,Andy Riley,1959-07-30,Egyptian
1082,Steinunn Sigurdardottir,1989-10-29,German
1083,Peter Weverka,1986-08-31,Chinese
1084,Ken Schwaber,1982-06-28,British
1085,Meg Jay,1949-04-21,French
1086,Megan Massacre,1974-01-23,Korean
1087,Jodi Picoult,1956-08-15,Israeli
1088,Miguel Bolivar,1955-08-24,Spanish
1089,Gerard Siggins,1926-12-01,Portuguese
1090,Quercus,1923-11-03,Portuguese
1091,Cathy Malchiodi,1968-04-09,Korean
1092,Dr. Gowri Motha,1926-02-09,American
1093,Howard E. Wasdin,1961-12-11,Malaysian
1094,David T. Smith,1953-06-25,Mexican
1095,Morris Gleitzman,1979-12-23,Nigerian
1096,Joseph Polansky,1929-04-04,Russian
1097,Peter Brook,1983-11-28,Japanese
1098,David J. Anderson,1969-04-15,Jamaican
1099,Herman Parish,1977-04-17,Peruvian
1100,Dona M. Wong,1982-11-16,Kenyan
1101,Anton Szandor Lavey,1990-07-17,Australian
1102,Sören Kierkegaard,1967-12-16,American
1103,Michelle McNamara,1929-08-22,Kenyan
1104,Alan Gratz,1951-10-21,Indian
1105,John M. Carrera,1968-11-07,Korean
1106,Dawn Baumann Brunke,1964-10-28,Chinese
1107,Grant P. Wiggins,1966-06-07,Swedish
1108,Dr Sandra Cabot,1931-02-06,Canadian
1109,Fiona Barton,1948-06-08,Australian
1110,Tom Ang,1941-09-02,Greek
1111,Darynda Jones,1959-06-30,Turkish
1112,Greg De Moore,1978-06-03,Nigerian
1113,Stephanie Moraghan,1945-02-23,Korean
1114,Alvin R Tilley,1981-12-15,Russian
1115,Nancy Braithwaite,1930-10-16,Swedish
1116,Mark Lauren,1984-06-21,Australian
1117,Rosie Swale-Pope,1942-05-25,British
1118,Ross Hoddinott,1982-01-03,Japanese
1119,Donna Tartt,1939-05-07,Spanish
1120,Maurice O'Sullivan,1979-10-19,Thai
1121,Helen Parrott,1945-08-12,Russian
1122,Kees van Aalst,1927-09-12,Nigerian
1123,Shai Shalev-Shwartz,1966-06-28,Swedish
1124,Olivier Filippi,1988-04-25,Canadian
1125,Marc Bekoff,1945-06-14,Brazilian
1126,John Gunnell,1978-03-12,Peruvian
1127,Mark Divine,1943-02-12,French
1128,Sylvia Day,1942-01-02,Turkish
1129,Justin Hurwitz,1938-06-28,Saudi Arabian
1130,Christos Gage,1920-02-23,British
1131,Daniel Lieberman,1954-08-11,British
1132,Michael Bishop,1989-11-29,Portuguese
1133,Sonia Purnell,1959-06-24,Jamaican
1134,Harvey Karp,1972-02-18,American
1135,Philippe Sands,1936-11-23,Thai
1136,Orion Carloto,1951-06-19,Spanish
1137,Zadie Smith,1990-02-17,Irish
1138,Dr Oscar Serrallach,1934-07-09,Mexican
1139,Thomas Asbridge,1922-09-18,Saudi Arabian
1140,Thomas J. Glover,1990-07-31,Indian
1141,Captain Eric Brown,1953-06-02,Malaysian
1142,Selina Lake,1948-11-04,Chinese
1143,Howard Jacobson,1927-10-07,Russian
1144,Bradley Nelson,1932-11-04,Peruvian
1145,Gray Cook,1959-05-17,Greek
1146,Christopher Winn,1924-03-29,Peruvian
1147,Bryan Sykes,1961-12-19,Canadian
1148,Jessica Fellowes,1941-01-06,Russian
1149,Francesco Reggiani,1978-10-11,Greek
1150,Lorna Wing,1987-04-03,Saudi Arabian
1151,Phil Kaye,1989-10-16,German
1152,Rachel Aust,1932-11-24,Swedish
1153,Joan Roca,1969-01-23,French
1154,Elle Luna,1942-04-05,Israeli
1155,Judy Melinek,1947-10-23,Chinese
1156,Lyn D. Sharratt,1962-04-25,Israeli
1157,Patrice Newell,1989-10-06,Spanish
1158,Larry Moss,1933-08-04,Thai
1159,Jay Earley,1933-09-28,Kenyan
1160,Ray Bradbury,1981-04-13,Malaysian
1161,Clive Gifford,1934-04-11,Malaysian
1162,Dean Ornish MD,1941-11-05,German
1163,Pam Pollack,1971-11-26,Polish
1164,Felipe Fernandez-Armesto,1956-07-21,Korean
1165,John Brockman,1927-01-21,Portuguese
1166,Melissa Ambrosini,1956-04-05,Irish
1167,Bruce Kumar Frantzis,1925-02-08,Portuguese
1168,Klaus Laitenberger,1938-10-31,Portuguese
1169,Ryosuke Takeuchi,1987-08-11,Australian
1170,John Shirley,1940-12-18,Saudi Arabian
1171,Eric Schlosser,1937-01-04,Kenyan
1172,Donald Lemke,1961-12-10,Malaysian
1173,Susanne Ng,1946-07-08,Greek
1174,Nick Tumminello,1955-07-20,French
1175,William L Shirer,1964-07-29,British
1176,Tristan Stephenson,1968-08-05,Saudi Arabian
1177,Barbara Hughes,1923-08-20,Thai
1178,Jec Aristotle Ballou,1938-04-18,Turkish
1179,Jason Aaron,1981-03-02,Kenyan
